instance,instanceType,avgSolvingTime,instanceResults,genInstance,genResults,status,iraceScore,totalTime,instanceHashValue
inst-2-1965286212.dzn,unsat,3.118385076522827,"{'status': 'ok', 'score': -1, 'results': {'main': {'runs': [{'seed': None, 'status': 'C', 'time': 3.118385076522827, 'extra': {'objs': [], 'flattenStatus': 'ok', 'flattenTime': 1.57522, 'instanceType': 'unsat', 'answerStatus': 'unknown'}}]}, 'oracle': {'runs': []}}}",gen-inst-2.param,"{'status': 'sat', 'seed': 1965286212, 'SRTime': 0.3496124744415283, 'solverTime': 0.027666807174682617}",graded,-1.0,4.143771171569824,2188f183b0be3f9543b3b8e289638655
inst-24-1965286212.dzn,unsat,0.8182427883148193,"{'status': 'ok', 'score': -1, 'results': {'main': {'runs': [{'seed': None, 'status': 'C', 'time': 0.8182427883148193, 'extra': {'objs': [], 'flattenStatus': 'ok', 'flattenTime': 0.309197, 'instanceType': 'unsat', 'answerStatus': 'unknown'}}]}, 'oracle': {'runs': []}}}",gen-inst-24.param,"{'status': 'sat', 'seed': 1965286212, 'SRTime': 0, 'solverTime': 0.042113542556762695}",graded,-1.0,1.2699742317199707,21aa59de3ea9d04d5d6f61b76e51a241
inst-23-813778292.dzn,sat,0.7164785861968994,"{'status': 'ok', 'score': -1, 'results': {'main': {'runs': [{'seed': None, 'status': 'C', 'time': 0.7164785861968994, 'extra': {'objs': [(0.4505479335784912, 3.0), (0.6565852165222168, 2.0)], 'flattenStatus': 'ok', 'flattenTime': 0.285539, 'instanceType': 'sat', 'answerStatus': 'unknown'}}]}, 'oracle': {'runs': []}}}",gen-inst-23.param,"{'status': 'sat', 'seed': 813778292, 'SRTime': 0.278580904006958, 'solverTime': 0.026896238327026367}",graded,-1.0,1.6681849956512451,238b84072e46e26f4c4e339167736e5d
inst-24-1409462646.dzn,unsat,0.7164373397827148,"{'status': 'ok', 'score': -1, 'results': {'main': {'runs': [{'seed': None, 'status': 'C', 'time': 0.7164373397827148, 'extra': {'objs': [], 'flattenStatus': 'ok', 'flattenTime': 0.306535, 'instanceType': 'unsat', 'answerStatus': 'unknown'}}]}, 'oracle': {'runs': []}}}",gen-inst-24.param,"{'status': 'sat', 'seed': 1409462646, 'SRTime': 0, 'solverTime': 0.0383143424987793}",graded,-1.0,1.1896822452545166,24fbe57a7e770072479468b963416a95
inst-23-1068608867.dzn,sat,0.5185427665710449,"{'status': 'ok', 'score': -1, 'results': {'main': {'runs': [{'seed': None, 'status': 'C', 'time': 0.5185427665710449, 'extra': {'objs': [(0.4273386001586914, 3.0), (0.46080708503723145, 2.0)], 'flattenStatus': 'ok', 'flattenTime': 0.266224, 'instanceType': 'sat', 'answerStatus': 'unknown'}}]}, 'oracle': {'runs': []}}}",gen-inst-23.param,"{'status': 'sat', 'seed': 1068608867, 'SRTime': 0, 'solverTime': 0.04259896278381348}",graded,-1.0,0.9705989360809326,2c9cc0f190b4420d558732a31594003d
inst-13-601225362.dzn,unsat,0.1178581714630127,"{'status': 'ok', 'score': -1, 'results': {'main': {'runs': [{'seed': None, 'status': 'C', 'time': 0.1178581714630127, 'extra': {'objs': [], 'flattenStatus': 'ok', 'flattenTime': 0.0480773, 'instanceType': 'unsat', 'answerStatus': 'unknown'}}]}, 'oracle': {'runs': []}}}",gen-inst-13.param,"{'status': 'sat', 'seed': 601225362, 'SRTime': 0, 'solverTime': 0.043807268142700195}",graded,-1.0,0.6075973510742188,417743b3126d9e3fcbb00593c091e150
inst-18-1965286212.dzn,unsat,0.4182863235473633,"{'status': 'ok', 'score': -1, 'results': {'main': {'runs': [{'seed': None, 'status': 'C', 'time': 0.4182863235473633, 'extra': {'objs': [], 'flattenStatus': 'ok', 'flattenTime': 0.315402, 'instanceType': 'unsat', 'answerStatus': 'unknown'}}]}, 'oracle': {'runs': []}}}",gen-inst-18.param,"{'status': 'sat', 'seed': 1965286212, 'SRTime': 0, 'solverTime': 0.043773651123046875}",graded,-1.0,0.8873021602630615,41a1fbe0fc1e7378c6dfd73dc9a139a0
inst-18-735527639.dzn,unsat,0.4183528423309326,"{'status': 'ok', 'score': -1, 'results': {'main': {'runs': [{'seed': None, 'status': 'C', 'time': 0.4183528423309326, 'extra': {'objs': [], 'flattenStatus': 'ok', 'flattenTime': 0.297737, 'instanceType': 'unsat', 'answerStatus': 'unknown'}}]}, 'oracle': {'runs': []}}}",gen-inst-18.param,"{'status': 'sat', 'seed': 735527639, 'SRTime': 0, 'solverTime': 0.04233741760253906}",graded,-1.0,0.8657166957855225,4d0e02711e1943ce9ca6a812c28f05e8
inst-14-1068608867.dzn,sat,4.61663556098938,"{'status': 'ok', 'score': -1, 'results': {'main': {'runs': [{'seed': None, 'status': 'C', 'time': 4.61663556098938, 'extra': {'objs': [(0.7722330093383789, 5.0), (2.788362979888916, 4.0)], 'flattenStatus': 'ok', 'flattenTime': 0.405636, 'instanceType': 'sat', 'answerStatus': 'unknown'}}]}, 'oracle': {'runs': []}}}",gen-inst-14.param,"{'status': 'sat', 'seed': 1068608867, 'SRTime': 0, 'solverTime': 0.03731513023376465}",graded,-1.0,5.067788362503052,53eff10e66f53d0d9f8fda69c7be9f4d
inst-13-2073674354.dzn,unsat,0.11735796928405762,"{'status': 'ok', 'score': -1, 'results': {'main': {'runs': [{'seed': None, 'status': 'C', 'time': 0.11735796928405762, 'extra': {'objs': [], 'flattenStatus': 'ok', 'flattenTime': 0.0514203, 'instanceType': 'unsat', 'answerStatus': 'unknown'}}]}, 'oracle': {'runs': []}}}",gen-inst-13.param,"{'status': 'sat', 'seed': 2073674354, 'SRTime': 0, 'solverTime': 0.044155120849609375}",graded,-1.0,0.6018540859222412,53f5846e61613b1ce04728f914151536
