instance,instanceType,avgSolvingTime,instanceResults,genInstance,genResults,status,iraceScore,totalTime,instanceHashValue
inst-17-735527639.dzn,unsat,0.8174936771392822,"{'status': 'ok', 'score': -1, 'results': {'main': {'runs': [{'seed': None, 'status': 'C', 'time': 0.8174936771392822, 'extra': {'objs': [], 'flattenStatus': 'ok', 'flattenTime': 0.427485, 'instanceType': 'unsat', 'answerStatus': 'unknown'}}]}, 'oracle': {'runs': []}}}",gen-inst-17.param,"{'status': 'sat', 'seed': 735527639, 'SRTime': 0.28293299674987793, 'solverTime': 0.02794790267944336}",graded,-1.0,1.7882053852081299,2ea028fede860e4aa2d7256ba836dcfa
inst-30-813778292.dzn,sat,4.7181291580200195,"{'status': 'ok', 'score': -1, 'results': {'main': {'runs': [{'seed': None, 'status': 'S', 'time': 4.7181291580200195, 'extra': {'objs': [(0.7671146392822266, 5.0)], 'flattenStatus': 'ok', 'flattenTime': 0.436578, 'instanceType': 'sat', 'answerStatus': 'unknown'}}]}, 'oracle': {'runs': []}}}",gen-inst-30.param,"{'status': 'sat', 'seed': 813778292, 'SRTime': 0.27089428901672363, 'solverTime': 0.027426958084106445}",graded,-1.0,5.659784317016602,32feae446cfdf3af67cbd5a98ba29ce3
inst-17-1222707704.dzn,unsat,0.8173301219940186,"{'status': 'ok', 'score': -1, 'results': {'main': {'runs': [{'seed': None, 'status': 'C', 'time': 0.8173301219940186, 'extra': {'objs': [], 'flattenStatus': 'ok', 'flattenTime': 0.450966, 'instanceType': 'unsat', 'answerStatus': 'unknown'}}]}, 'oracle': {'runs': []}}}",gen-inst-17.param,"{'status': 'sat', 'seed': 1222707704, 'SRTime': 0, 'solverTime': 0.04475831985473633}",graded,-1.0,1.295377492904663,3e7b82057c0e35c2bae82b7e531c0711
inst-19-735527639.dzn,sat,5.130554437637329,"{'status': 'ok', 'score': -1, 'results': {'main': {'runs': [{'seed': None, 'status': 'S', 'time': 5.130554437637329, 'extra': {'objs': [(1.6321742534637451, 7.0), (2.9735567569732666, 6.0)], 'flattenStatus': 'ok', 'flattenTime': 0.814109, 'instanceType': 'sat', 'answerStatus': 'unknown'}}]}, 'oracle': {'runs': []}}}",gen-inst-19.param,"{'status': 'sat', 'seed': 735527639, 'SRTime': 0.2834179401397705, 'solverTime': 0.028391599655151367}",graded,-1.0,6.110053539276123,407302772e7f355d54f7e105876d8d5e
inst-13-601225362.dzn,unsat,0.11673951148986816,"{'status': 'ok', 'score': -1, 'results': {'main': {'runs': [{'seed': None, 'status': 'C', 'time': 0.11673951148986816, 'extra': {'objs': [], 'flattenStatus': 'ok', 'flattenTime': 0.0554213, 'instanceType': 'unsat', 'answerStatus': 'unknown'}}]}, 'oracle': {'runs': []}}}",gen-inst-13.param,"{'status': 'sat', 'seed': 601225362, 'SRTime': 0, 'solverTime': 0.04050421714782715}",graded,-1.0,0.5967178344726562,417743b3126d9e3fcbb00593c091e150
inst-28-285596038.dzn,unsat,0.11732363700866699,"{'status': 'ok', 'score': -1, 'results': {'main': {'runs': [{'seed': None, 'status': 'C', 'time': 0.11732363700866699, 'extra': {'objs': [], 'flattenStatus': 'ok', 'flattenTime': 0.0481217, 'instanceType': 'unsat', 'answerStatus': 'unknown'}}]}, 'oracle': {'runs': []}}}",gen-inst-28.param,"{'status': 'sat', 'seed': 285596038, 'SRTime': 0, 'solverTime': 0.04476118087768555}",graded,-1.0,0.5898551940917969,4a3dba7480002b3ad6b80e62daa8c268
inst-26-2073674354.dzn,sat,3.5164804458618164,"{'status': 'ok', 'score': -1, 'results': {'main': {'runs': [{'seed': None, 'status': 'C', 'time': 3.5164804458618164, 'extra': {'objs': [(0.6544418334960938, 5.0), (2.3303184509277344, 4.0)], 'flattenStatus': 'ok', 'flattenTime': 0.379684, 'instanceType': 'sat', 'answerStatus': 'unknown'}}]}, 'oracle': {'runs': []}}}",gen-inst-26.param,"{'status': 'sat', 'seed': 2073674354, 'SRTime': 0.27460336685180664, 'solverTime': 0.027289152145385742}",graded,-1.0,4.489820718765259,4c30891207fde3a16ed036f9ca36732e
inst-26-1965286212.dzn,sat,3.0181734561920166,"{'status': 'ok', 'score': -1, 'results': {'main': {'runs': [{'seed': None, 'status': 'C', 'time': 3.0181734561920166, 'extra': {'objs': [(0.6499292850494385, 5.0), (1.9756813049316406, 4.0)], 'flattenStatus': 'ok', 'flattenTime': 0.377474, 'instanceType': 'sat', 'answerStatus': 'unknown'}}]}, 'oracle': {'runs': []}}}",gen-inst-26.param,"{'status': 'sat', 'seed': 1965286212, 'SRTime': 0, 'solverTime': 0.0478215217590332}",graded,-1.0,3.4889819622039795,5060d63b46c6d89a9c58d0710153fdb7
inst-30-735527639.dzn,sat,4.917515516281128,"{'status': 'ok', 'score': -1, 'results': {'main': {'runs': [{'seed': None, 'status': 'C', 'time': 4.917515516281128, 'extra': {'objs': [(0.7562801837921143, 5.0), (3.123682975769043, 4.0)], 'flattenStatus': 'ok', 'flattenTime': 0.432487, 'instanceType': 'sat', 'answerStatus': 'unknown'}}]}, 'oracle': {'runs': []}}}",gen-inst-30.param,"{'status': 'sat', 'seed': 735527639, 'SRTime': 0, 'solverTime': 0.0419464111328125}",graded,-1.0,5.372492551803589,53a42400e4b3d673ddc3d6e2991a0f73
inst-13-2073674354.dzn,unsat,0.11848187446594238,"{'status': 'ok', 'score': -1, 'results': {'main': {'runs': [{'seed': None, 'status': 'C', 'time': 0.11848187446594238, 'extra': {'objs': [], 'flattenStatus': 'ok', 'flattenTime': 0.049279, 'instanceType': 'unsat', 'answerStatus': 'unknown'}}]}, 'oracle': {'runs': []}}}",gen-inst-13.param,"{'status': 'sat', 'seed': 2073674354, 'SRTime': 0, 'solverTime': 0.0446016788482666}",graded,-1.0,0.5854284763336182,53f5846e61613b1ce04728f914151536
